Date/Time:,3/13/2020 8:47,,,,,
Film name:,Poly on 1000A Oxide,,,,,
Stage group:,49 pts radial,,,,,
Lot ID:,kk_0312 sel_post,,,,,
Wafer ID:,# 25,,,,,
Cassette recipe name:,SemiAuto -,,,,,
Wafer recipe name:,POLY ON 1K OXIDE 49PT 3mmEE,,,,,
Stage recipe name:,49 pt 12 in 4x Notch 3mm ex,,,,,
Title:,Point#,SiO2 (Å),Poly (Å),MSE,X(mm),Y(mm)
Film name:,Poly on 1000A Oxide,,,,,
Stage group:,49 pts radial,,,,,
Lot ID:,kk_0312 sel_post,,,,,
Wafer ID:,# 21,,,,,
Cassette recipe name:,SemiAuto -,,,,,
Wafer recipe name:,POLY ON 1K OXIDE 49PT 3mmEE,,,,,
Stage recipe name:,49 pt 12 in 4x Notch 3mm ex,,,,,
Title:,Point#,SiO2 (Å),Poly (Å),MSE,X(mm),Y(mm)
,1,1000,4902.65,23.61,0,0
,2,1000,4923.96,23.68,0,49
,3,1000,4900.71,23.69,34.648,34.648
,4,1000,4901.98,24.38,49,0
,5,1000,4905.52,24.41,34.648,-34.648
,6,1000,4896.17,23.96,0,-49
,7,1000,4890.53,23.6,-34.648,-34.648
,8,1000,4911.41,23.59,-49,0
,9,1000,4936.83,23.76,-34.648,34.648
,10,1000,4947.92,23.82,0,98
,11,1000,4905.29,23.42,37.503,90.54
,12,1000,4887.69,23.51,69.296,69.297
,13,1000,4895.63,23.93,90.54,37.503
,14,1000,4916.84,24.76,98,0
,15,1000,4938.65,24.88,90.54,-37.503
,16,1000,4949.95,25.73,69.297,-69.296
,17,1000,4938.69,25.04,37.503,-90.54
,18,1000,4912.6,24.8,0,-98
,19,1000,4881.55,24.08,-37.503,-90.54
,20,1000,4869.3,23.94,-69.296,-69.297
,21,1000,4880.1,23.07,-90.54,-37.503
,22,1000,4920.93,23.69,-98,0
,23,1000,4973.12,24.65,-90.54,37.503
,24,1000,5021.06,25.53,-69.297,69.296
,25,1000,5007.23,25.06,-37.503,90.54
,26,1000,4928.84,21.46,0,147
,27,1000,4880.98,22.18,38.046,141.991
,28,1000,4834.97,21.08,73.5,127.306
,29,1000,4828.37,21.28,103.945,103.945
