

Date/Time:,13-Mar-20 08:47:12 AM
Film name:,Poly on 1000A Oxide
Stage group:,49 pts radial
Lot ID:,kk_0312 sel_post
Wafer ID:,# 25
Cassette recipe name:,SemiAuto -
Wafer recipe name:,POLY ON 1K OXIDE 49PT 3mmEE
Stage recipe name:,49 pt 12 in 4x Notch 3mm ex
Title:,Point#,SiO2 (Å),Poly (Å),MSE,X(mm),Y(mm)
%StdD,,1.16,45.6663
%NonU,,2.41,95.9649
CTE,,N/A,N/A

Date/Time:,12-Mar-20 12:21:07 PM
Film name:,Oxide on Si
Stage group:,49 pts radials
Lot ID:,kk_0312 sel_Pre
Wafer ID:,# 10 - Ox
Cassette recipe name:,SemiAuto -
Wafer recipe name:,SiO2 49 PTS 3EE focus all
Stage recipe name:,49 pt 4X 3mm focus all
Title:,Point#,SiO2 (Å),MSE,X(mm),Y(mm)
,1,2490.01,0.9300,0.000,0.000
,2,2479.85,1.0900,0.000,49.000
,3,2484.39,0.8700,34.648,34.648
,4,2495.30,0.9500,49.000,0.000
,5,2504.09,1.0300,34.648,-34.648
,6,2504.13,0.7100,0.000,-49.000
,7,2498.15,1.4400,-34.648,-34.648
,8,2486.56,1.1700,-49.000,-0.000
,9,2480.05,0.8100,-34.648,34.648
,10,2474.49,0.5500,0.000,98.000
,11,2472.46,0.8400,37.503,90.540
,12,2478.71,1.3100,69.296,69.297
,13,2490.42,1.3400,90.540,37.503
,14,2503.24,1.5700,98.000,0.000
,15,2515.38,2.1900,90.540,-37.503
,16,2521.39,1.7200,69.297,-69.296
,17,2524.12,0.9300,37.503,-90.540
,18,2523.95,0.6900,0.000,-98.000
,19,2522.98,0.8900,-37.503,-90.540
,20,2508.81,1.0100,-69.296,-69.297
,21,2486.56,0.7100,-90.540,-37.503
,22,2472.86,1.2000,-98.000,-0.000
,23,2466.21,2.9700,-90.540,37.503
,24,2468.95,2.9700,-69.297,69.296
,25,2472.77,1.7300,-37.503,90.540
,26,2445.11,0.8600,0.000,147.000
,27,2448.73,0.7300,38.046,141.991
,28,2446.36,1.0900,73.500,127.306
,29,2450.38,1.1100,103.945,103.945
,30,2472.27,1.2100,127.306,73.500
,31,2477.40,1.4300,141.991,38.047
,32,2495.16,1.3900,147.000,0.000
,33,2510.44,1.3900,141.991,-38.046
,34,2520.11,1.7100,127.306,-73.500
,35,2534.08,1.1700,103.945,-103.944
,36,2537.22,0.9700,73.500,-127.306
,37,2544.63,0.7800,38.047,-141.991
,38,2544.95,0.6400,0.000,-147.000
,39,2547.52,0.6900,-38.046,-141.991
,40,2546.19,0.6600,-73.500,-127.306
,41,2522.20,0.8300,-103.944,-103.945
,42,2479.77,0.6100,-127.305,-73.500
,43,2447.78,0.9600,-141.991,-38.047
,44,2448.49,2.0100,-147.000,-0.001
,45,2436.33,2.4800,-141.991,38.046
,46,2451.00,2.4800,-127.306,73.499
,47,2460.60,2.2900,-103.945,103.944
,48,2468.20,1.9900,-73.501,127.305
,49,2463.95,1.5100,-38.047,141.991

Max,,2547.52,2.9700
Min,,2436.33,0.5500
Range,,111.19,2.4200
Mean,,2490.30,1.2778
StdD,,30.72,0.6104
%StdD,,1.23,47.7713
%NonU,,2.23,94.6973
CTE,,N/A,N/A

Date/Time:,12-Mar-20 12:18:23 PM
Film name:,Oxide on Si
Stage group:,49 pts radials
Lot ID:,kk_0312 sel_Pre
Wafer ID:,# 09 - Ox
Cassette recipe name:,SemiAuto -
Wafer recipe name:,SiO2 49 PTS 3EE focus all
Stage recipe name:,49 pt 4X 3mm focus all
Title:,Point#,SiO2 (Å),MSE,X(mm),Y(mm)
,1,2486.38,0.8600,0.000,0.000
,2,2475.81,1.0300,0.000,49.000
,3,2481.31,0.9300,34.648,34.648
,4,2491.67,0.9700,49.000,0.000
,5,2500.55,0.9400,34.648,-34.648
,6,2506.42,0.6800,0.000,-49.000
,7,2504.04,1.3500,-34.648,-34.648
,8,2484.61,1.1300,-49.000,-0.000
,9,2477.45,0.9900,-34.648,34.648
,10,2471.22,0.5800,0.000,98.000
,11,2470.22,0.9900,37.503,90.540
,12,2476.67,1.3800,69.296,69.297
,13,2488.79,1.2900,90.540,37.503
,14,2501.14,1.6800,98.000,0.000
,15,2512.61,1.9700,90.540,-37.503
,16,2519.40,1.6300,69.297,-69.296
,17,2524.26,0.9200,37.503,-90.540
,18,2559.62,0.7100,0.000,-98.000
,19,2579.18,1.0500,-37.503,-90.540
,20,2508.98,1.0100,-69.296,-69.297
,21,2486.26,0.7200,-90.540,-37.503
,22,2475.12,1.1900,-98.000,-0.000
,23,2466.40,2.9100,-90.540,37.503
,24,2467.26,3.0800,-69.297,69.296
,25,2470.10,1.8300,-37.503,90.540
,26,2446.44,0.9300,0.000,147.000
,27,2448.21,0.7300,38.046,141.991
,28,2445.38,1.1000,73.500,127.306
,29,2449.35,1.0700,103.945,103.945
,30,2473.80,1.1500,127.306,73.500
,31,2477.36,1.3300,141.991,38.047
,32,2494.41,1.3400,147.000,0.000
,33,2509.94,1.3200,141.991,-38.046
,34,2517.06,1.1800,127.306,-73.500
,35,2532.44,1.0700,103.945,-103.944
,36,2537.12,0.9500,73.500,-127.306
,37,2545.04,0.9400,38.047,-141.991
,38,2545.50,0.6800,0.000,-147.000
,39,2553.45,0.7300,-38.046,-141.991
,40,2537.59,0.6700,-73.500,-127.306
,41,2509.17,0.7100,-103.944,-103.945
,42,2476.07,0.6300,-127.305,-73.500
,43,2448.47,0.9200,-141.991,-38.047
,44,2446.97,2.0400,-147.000,-0.001
,45,2437.25,2.3500,-141.991,38.046
,46,2451.63,2.4900,-127.306,73.499
,47,2461.73,2.3900,-103.945,103.944
,48,2465.18,2.1500,-73.501,127.305
,49,2464.39,1.5300,-38.047,141.991

Max,,2579.18,3.0800
Min,,2437.25,0.5800
Range,,141.93,2.5000
Mean,,2491.01,1.2698
StdD,,33.92,0.6027
%StdD,,1.36,47.4674
%NonU,,2.85,98.4410
CTE,,N/A,N/A

Date/Time:,12-Mar-20 11:51:21 AM
Film name:,SIN ON 1K FIX OX RC
Stage group:,49 pts radial
Lot ID:,kk_0312 sel_Pre
Wafer ID:,# 18 - SiN
Cassette recipe name:,SemiAuto -
Wafer recipe name:,Nitride on 1kA Fix Ox 49pt 3mm
Stage recipe name:,49 pt 12 in 4x Notch 3mm ex
Title:,Point#,SiO2 (Å),Si3N4 (Å),MSE,X(mm),Y(mm)
,1,1000.00,2927.54,0.0042,0.000,0.000
,2,1000.00,2956.09,0.0049,0.000,49.000
,3,1000.00,2955.28,0.0045,34.648,34.648
,4,1000.00,2947.83,0.0047,49.000,0.000
,5,1000.00,2940.60,0.0047,34.648,-34.648
,6,1000.00,2939.47,0.0043,0.000,-49.000
,7,1000.00,2943.93,0.0061,-34.648,-34.648
,8,1000.00,2949.51,0.0051,-49.000,-0.000
,9,1000.00,2952.39,0.0044,-34.648,34.648
,10,1000.00,3030.53,0.0026,0.000,98.000
,11,1000.00,3034.94,0.0044,37.503,90.540
,12,1000.00,3032.06,0.0059,69.296,69.297
,13,1000.00,3022.96,0.0062,90.540,37.503
,14,1000.00,3011.36,0.0072,98.000,0.000
,15,1000.00,3001.12,0.0092,90.540,-37.503
,16,1000.00,2994.33,0.0078,69.297,-69.296
,17,1000.00,2990.96,0.0057,37.503,-90.540
,18,1000.00,2991.32,0.0048,0.000,-98.000
,19,1000.00,2994.99,0.0053,-37.503,-90.540
,20,1000.00,3001.31,0.0054,-69.296,-69.297
,21,1000.00,3009.42,0.0046,-90.540,-37.503
,22,1000.00,3015.14,0.0014,-98.000,-0.000
,23,1000.00,3011.61,0.0006,-90.540,37.503
,24,1000.00,3013.49,0.0007,-69.297,69.296
,25,1000.00,3016.41,0.0005,-37.503,90.540
,26,1000.00,3131.76,0.0021,0.000,147.000
,27,1000.00,3100.95,0.0036,38.046,141.991
,28,1000.00,3092.91,0.0050,73.500,127.306
,29,1000.00,3088.18,0.0058,103.945,103.945
,30,1000.00,3079.89,0.0062,127.306,73.500
,31,1000.00,3065.28,0.0063,141.991,38.047
,32,1000.00,3050.78,0.0065,147.000,0.000
,33,1000.00,3037.38,0.0063,141.991,-38.046
,34,1000.00,3030.26,0.0058,127.306,-73.500
,35,1000.00,3029.49,0.0063,103.945,-103.944
,36,1000.00,3031.33,0.0062,73.500,-127.306
,37,1000.00,3034.51,0.0074,38.047,-141.991
,38,1000.00,3034.90,0.0065,0.000,-147.000
,39,1000.00,3038.76,0.0059,-38.046,-141.991
,40,1000.00,3040.45,0.0054,-73.500,-127.306
,41,1000.00,3044.39,0.0050,-103.944,-103.945
,42,1000.00,3050.67,0.0044,-127.305,-73.500
,43,1000.00,3073.32,0.0023,-141.991,-38.047
,44,1000.00,3097.63,0.0010,-147.000,-0.001
,45,1000.00,3075.54,0.0004,-141.991,38.046
,46,1000.00,3079.23,0.0004,-127.306,73.499
,47,1000.00,3135.62,0.0008,-103.945,103.944
,48,1000.00,3054.57,0.0005,-73.501,127.305
,49,1000.00,3110.91,0.0008,-38.047,141.991

Max,,1000.00,3135.62,0.0092
Min,,1000.00,2927.54,0.0004
Range,,0.00,208.08,0.0088
Mean,,1000.00,3026.39,0.0044
StdD,,0.00,52.02,0.0023
%StdD,,0.00,1.72,51.6033
%NonU,,0.00,3.44,99.8799
CTE,,N/A,N/A,N/A

Date/Time:,12-Mar-20 11:49:01 AM
Film name:,SIN ON 1K FIX OX RC
Stage group:,49 pts radial
Lot ID:,kk_0312 sel_Pre
Wafer ID:,# 17 - SiN
Cassette recipe name:,SemiAuto -
Wafer recipe name:,Nitride on 1kA Fix Ox 49pt 3mm
Stage recipe name:,49 pt 12 in 4x Notch 3mm ex
Title:,Point#,SiO2 (Å),Si3N4 (Å),MSE,X(mm),Y(mm)
,1,1000.00,2856.09,0.0042,0.000,0.000
,2,1000.00,2874.65,0.0045,0.000,49.000
,3,1000.00,2887.92,0.0040,34.648,34.648
,4,1000.00,2892.86,0.0046,49.000,0.000
,5,1000.00,2889.33,0.0047,34.648,-34.648
,6,1000.00,2882.68,0.0039,0.000,-49.000
,7,1000.00,2870.68,0.0059,-34.648,-34.648
,8,1000.00,2861.40,0.0050,-49.000,-0.000
,9,1000.00,2863.00,0.0042,-34.648,34.648
,10,1000.00,2940.05,0.0026,0.000,98.000
,11,1000.00,2956.45,0.0040,37.503,90.540
,12,1000.00,2970.70,0.0056,69.296,69.297
,13,1000.00,2978.75,0.0057,90.540,37.503
,14,1000.00,2977.51,0.0069,98.000,0.000
,15,1000.00,2964.56,0.0085,90.540,-37.503
,16,1000.00,2960.33,0.0072,69.297,-69.296
,17,1000.00,2957.02,0.0049,37.503,-90.540
,18,1000.00,2955.75,0.0042,0.000,-98.000
,19,1000.00,2943.58,0.0045,-37.503,-90.540
,20,1000.00,2928.95,0.0048,-69.296,-69.297
,21,1000.00,2917.83,0.0043,-90.540,-37.503
,22,1000.00,2907.00,0.0011,-98.000,-0.000
,23,1000.00,2906.39,0.0006,-90.540,37.503
,24,1000.00,2913.12,0.0005,-69.297,69.296
,25,1000.00,2924.86,0.0005,-37.503,90.540
,26,1000.00,3029.57,0.0016,0.000,147.000
,27,1000.00,3046.49,0.0035,38.046,141.991
,28,1000.00,3064.20,0.0048,73.500,127.306
,29,1000.00,3082.19,0.0059,103.945,103.945
,30,1000.00,3093.16,0.0059,127.306,73.500
,31,1000.00,3099.34,0.0059,141.991,38.047
,32,1000.00,3091.37,0.0062,147.000,0.000
,33,1000.00,3109.13,0.0064,141.991,-38.046
,34,1000.00,3028.62,0.0051,127.306,-73.500
,35,1000.00,3107.93,0.0066,103.945,-103.944
,36,1000.00,3074.55,0.0066,73.500,-127.306
,37,1000.00,3054.84,0.0068,38.047,-141.991
,38,1000.00,3095.36,0.0077,0.000,-147.000
,39,1000.00,3043.61,0.0058,-38.046,-141.991
,40,1000.00,3031.13,0.0052,-73.500,-127.306
,41,1000.00,3014.23,0.0047,-103.944,-103.945
,42,1000.00,3002.44,0.0042,-127.305,-73.500
,43,1000.00,2992.83,0.0020,-141.991,-38.047
,44,1000.00,2986.76,0.0006,-147.000,-0.001
,45,1000.00,2978.30,0.0003,-141.991,38.046
,46,1000.00,2980.70,0.0003,-127.306,73.499
,47,1000.00,2988.82,0.0003,-103.945,103.944
,48,1000.00,3001.49,0.0005,-73.501,127.305
,49,1000.00,3011.09,0.0006,-38.047,141.991

Max,,1000.00,3109.13,0.0085
Min,,1000.00,2856.09,0.0003
Range,,0.00,253.04,0.0082
Mean,,1000.00,2979.38,0.0042
StdD,,0.00,74.60,0.0023
%StdD,,0.00,2.50,54.2763
%NonU,,0.00,4.25,97.7252
CTE,,N/A,N/A,N/A

Date/Time:,12-Mar-20 11:46:40 AM
Film name:,SIN ON 1K FIX OX RC
Stage group:,49 pts radial
Lot ID:,kk_0312 sel_Pre
Wafer ID:,# 16 - SiN
Cassette recipe name:,SemiAuto -
Wafer recipe name:,Nitride on 1kA Fix Ox 49pt 3mm
Stage recipe name:,49 pt 12 in 4x Notch 3mm ex
Title:,Point#,SiO2 (Å),Si3N4 (Å),MSE,X(mm),Y(mm)
,1,1000.00,2830.84,0.0041,0.000,0.000
,2,1000.00,2860.06,0.0049,0.000,49.000
,3,1000.00,2868.53,0.0045,34.648,34.648
,4,1000.00,2868.64,0.0046,49.000,0.000
,5,1000.00,2861.34,0.0048,34.648,-34.648
,6,1000.00,2851.62,0.0042,0.000,-49.000
,7,1000.00,2843.63,0.0060,-34.648,-34.648
,8,1000.00,2843.14,0.0052,-49.000,-0.000
,9,1000.00,2850.41,0.0047,-34.648,34.648
,10,1000.00,2941.21,0.0028,0.000,98.000
,11,1000.00,2952.22,0.0041,37.503,90.540
,12,1000.00,2958.71,0.0055,69.296,69.297
,13,1000.00,2964.24,0.0060,90.540,37.503
,14,1000.00,2957.74,0.0076,98.000,0.000
,15,1000.00,2948.56,0.0098,90.540,-37.503
,16,1000.00,2942.40,0.0076,69.297,-69.296
,17,1000.00,2936.78,0.0057,37.503,-90.540
,18,1000.00,2928.13,0.0049,0.000,-98.000
,19,1000.00,2919.41,0.0052,-37.503,-90.540
,20,1000.00,2912.70,0.0052,-69.296,-69.297
,21,1000.00,2911.12,0.0044,-90.540,-37.503
,22,1000.00,2915.33,0.0019,-98.000,-0.000
,23,1000.00,2922.96,0.0007,-90.540,37.503
,24,1000.00,2930.97,0.0007,-69.297,69.296
,25,1000.00,2938.39,0.0012,-37.503,90.540
,26,1000.00,3052.41,0.0017,0.000,147.000
,27,1000.00,3077.71,0.0035,38.046,141.991
,28,1000.00,3130.45,0.0055,73.500,127.306
,29,1000.00,3042.41,0.0054,103.945,103.945
,30,1000.00,3124.56,0.0074,127.306,73.500
,31,1000.00,3099.87,0.0114,141.991,38.047
,32,1000.00,3075.00,0.0081,147.000,0.000
,33,1000.00,3055.03,0.0093,141.991,-38.046
,34,1000.00,3051.71,0.0090,127.306,-73.500
,35,1000.00,3059.75,0.0091,103.945,-103.944
,36,1000.00,3060.46,0.0097,73.500,-127.306
,37,1000.00,3051.76,0.0088,38.047,-141.991
,38,1000.00,3043.23,0.0083,0.000,-147.000
,39,1000.00,3034.70,0.0088,-38.046,-141.991
,40,1000.00,3034.64,0.0136,-73.500,-127.306
,41,1000.00,3010.39,0.0063,-103.944,-103.945
,42,1000.00,2997.16,0.0041,-127.305,-73.500
,43,1000.00,2998.63,0.0021,-141.991,-38.047
,44,1000.00,3004.09,0.0007,-147.000,-0.001
,45,1000.00,3010.24,0.0005,-141.991,38.046
,46,1000.00,3019.86,0.0005,-127.306,73.499
,47,1000.00,3027.53,0.0003,-103.945,103.944
,48,1000.00,3051.89,0.0004,-73.501,127.305
,49,1000.00,3073.86,0.0007,-38.047,141.991

Max,,1000.00,3130.45,0.0136
Min,,1000.00,2830.84,0.0003
Range,,0.00,299.60,0.0133
Mean,,1000.00,2976.46,0.0051
StdD,,0.00,82.37,0.0032
%StdD,,0.00,2.77,62.5005
%NonU,,0.00,5.03,129.2709
CTE,,N/A,N/A,N/A

Date/Time:,12-Mar-20 11:44:20 AM
Film name:,SIN ON 1K FIX OX RC
Stage group:,49 pts radial
Lot ID:,kk_0312 sel_Pre
Wafer ID:,# 15 - SiN
Cassette recipe name:,SemiAuto -
Wafer recipe name:,Nitride on 1kA Fix Ox 49pt 3mm
Stage recipe name:,49 pt 12 in 4x Notch 3mm ex
Title:,Point#,SiO2 (Å),Si3N4 (Å),MSE,X(mm),Y(mm)
,1,1000.00,2968.12,0.0045,0.000,0.000
,2,1000.00,2991.23,0.0047,0.000,49.000
,3,1000.00,2988.15,0.0044,34.648,34.648
,4,1000.00,2980.79,0.0050,49.000,0.000
,5,1000.00,2975.93,0.0052,34.648,-34.648
,6,1000.00,2977.42,0.0042,0.000,-49.000
,7,1000.00,2983.92,0.0065,-34.648,-34.648
,8,1000.00,2990.18,0.0054,-49.000,-0.000
,9,1000.00,2991.40,0.0044,-34.648,34.648
,10,1000.00,3049.12,0.0029,0.000,98.000
,11,1000.00,3052.09,0.0045,37.503,90.540
,12,1000.00,3048.40,0.0059,69.296,69.297
,13,1000.00,3039.89,0.0062,90.540,37.503
,14,1000.00,3029.56,0.0074,98.000,0.000
,15,1000.00,3021.40,0.0093,90.540,-37.503
,16,1000.00,3017.52,0.0078,69.297,-69.296
,17,1000.00,3017.76,0.0056,37.503,-90.540
,18,1000.00,3020.08,0.0048,0.000,-98.000
,19,1000.00,3025.46,0.0055,-37.503,-90.540
,20,1000.00,3032.10,0.0056,-69.296,-69.297
,21,1000.00,3040.52,0.0045,-90.540,-37.503
,22,1000.00,3047.82,0.0016,-98.000,-0.000
,23,1000.00,3044.82,0.0007,-90.540,37.503
,24,1000.00,3043.38,0.0007,-69.297,69.296
,25,1000.00,3040.44,0.0006,-37.503,90.540
,26,1000.00,3114.40,0.0020,0.000,147.000
,27,1000.00,3099.33,0.0034,38.046,141.991
,28,1000.00,3077.92,0.0048,73.500,127.306
,29,1000.00,3070.30,0.0055,103.945,103.945
,30,1000.00,3067.79,0.0057,127.306,73.500
,31,1000.00,3056.08,0.0056,141.991,38.047
,32,1000.00,3046.20,0.0060,147.000,0.000
,33,1000.00,3036.56,0.0058,141.991,-38.046
,34,1000.00,3033.30,0.0050,127.306,-73.500
,35,1000.00,3036.63,0.0055,103.945,-103.944
,36,1000.00,3042.41,0.0062,73.500,-127.306
,37,1000.00,3053.75,0.0085,38.047,-141.991
,38,1000.00,3055.22,0.0065,0.000,-147.000
,39,1000.00,3060.33,0.0059,-38.046,-141.991
,40,1000.00,3063.11,0.0056,-73.500,-127.306
,41,1000.00,3063.31,0.0055,-103.944,-103.945
,42,1000.00,3067.93,0.0050,-127.305,-73.500
,43,1000.00,3081.22,0.0024,-141.991,-38.047
,44,1000.00,3112.42,0.0011,-147.000,-0.001
,45,1000.00,3117.58,0.0006,-141.991,38.046
,46,1000.00,3066.36,0.0004,-127.306,73.499
,47,1000.00,3141.13,0.0007,-103.945,103.944
,48,1000.00,3093.02,0.0006,-73.501,127.305
,49,1000.00,3074.50,0.0007,-38.047,141.991

Max,,1000.00,3141.13,0.0093
Min,,1000.00,2968.12,0.0004
Range,,0.00,173.01,0.0089
Mean,,1000.00,3043.84,0.0044
StdD,,0.00,39.44,0.0023
%StdD,,0.00,1.30,51.2391
%NonU,,0.00,2.84,100.9995
CTE,,N/A,N/A,N/A

Date/Time:,12-Mar-20 11:41:37 AM
Film name:,Oxide on Si
Stage group:,49 pts radials
Lot ID:,kk_0312 sel_Pre
Wafer ID:,# 13 - Ox
Cassette recipe name:,SemiAuto -
Wafer recipe name:,SiO2 49 PTS 3EE focus all
Stage recipe name:,49 pt 4X 3mm focus all
Title:,Point#,SiO2 (Å),MSE,X(mm),Y(mm)
,1,2483.87,1.1600,0.000,0.000
,2,2472.06,1.1100,0.000,49.000
,3,2478.59,0.9200,34.648,34.648
,4,2488.77,1.0500,49.000,0.000
,5,2496.55,0.8300,34.648,-34.648
,6,2503.44,0.8300,0.000,-49.000
,7,2496.85,1.5500,-34.648,-34.648
,8,2482.81,1.1400,-49.000,-0.000
,9,2473.70,0.9200,-34.648,34.648
,10,2467.95,0.5500,0.000,98.000
,11,2467.31,0.8600,37.503,90.540
,12,2475.18,1.3300,69.296,69.297
,13,2488.74,1.3600,90.540,37.503
,14,2499.39,1.4000,98.000,0.000
,15,2511.67,2.0500,90.540,-37.503
,16,2518.25,1.5700,69.297,-69.296
,17,2523.81,0.9400,37.503,-90.540
,18,2528.91,0.6900,0.000,-98.000
,19,2535.91,0.8100,-37.503,-90.540
,20,2514.18,0.8800,-69.296,-69.297
,21,2487.30,0.7300,-90.540,-37.503
,22,2473.64,1.2500,-98.000,-0.000
,23,2465.11,2.8600,-90.540,37.503
,24,2465.75,2.9400,-69.297,69.296
,25,2467.42,1.7700,-37.503,90.540
,26,2448.19,0.9100,0.000,147.000
,27,2446.05,0.6500,38.046,141.991
,28,2441.99,1.0800,73.500,127.306
,29,2446.69,1.1000,103.945,103.945
,30,2470.54,1.0200,127.306,73.500
,31,2475.47,1.2600,141.991,38.047
,32,2492.43,1.4600,147.000,0.000
,33,2507.53,1.4000,141.991,-38.046
,34,2514.74,1.1700,127.306,-73.500
,35,2526.88,0.9700,103.945,-103.944
,36,2534.31,0.9200,73.500,-127.306
,37,2542.57,0.7500,38.047,-141.991
,38,2543.28,0.6700,0.000,-147.000
,39,2549.36,0.6500,-38.046,-141.991
,40,2528.51,0.6700,-73.500,-127.306
,41,2499.40,0.7200,-103.944,-103.945
,42,2470.15,0.6800,-127.305,-73.500
,43,2446.53,0.9400,-141.991,-38.047
,44,2447.83,1.9800,-147.000,-0.001
,45,2436.21,2.3700,-141.991,38.046
,46,2450.35,2.4900,-127.306,73.499
,47,2464.71,2.3600,-103.945,103.944
,48,2470.56,2.0000,-73.501,127.305
,49,2464.16,1.6400,-38.047,141.991

Max,,2549.36,2.9400
Min,,2436.21,0.5500
Range,,113.15,2.3900
Mean,,2487.46,1.2522
StdD,,30.38,0.5950
%StdD,,1.22,47.5122
%NonU,,2.27,95.4286
CTE,,N/A,N/A

Date/Time:,12-Mar-20 11:26:40 AM
Film name:,Poly on 1000A Oxide
Stage group:,49 pts radial
Lot ID:,kk_0312 Sel_pre
Wafer ID:,# 25 - Poly
Cassette recipe name:,SemiAuto -
Wafer recipe name:,POLY ON 1K OXIDE 49PT 3mmEE
Stage recipe name:,49 pt 12 in 4x Notch 3mm ex
Title:,Point#,SiO2 (Å),Poly (Å),MSE,X(mm),Y(mm)
,1,1000.00,5127.00,26.0900,0.000,0.000
,2,1000.00,5138.66,26.2500,0.000,49.000
,3,1000.00,5127.19,26.3000,34.648,34.648
,4,1000.00,5125.51,26.0800,49.000,0.000
,5,1000.00,5143.52,25.7400,34.648,-34.648
,6,1000.00,5146.49,25.4700,0.000,-49.000
,7,1000.00,5128.64,25.9300,-34.648,-34.648
,8,1000.00,5123.72,26.1000,-49.000,-0.000
,9,1000.00,5142.24,27.1700,-34.648,34.648
,10,1000.00,5180.15,26.0300,0.000,98.000
,11,1000.00,5157.77,26.2000,37.503,90.540
,12,1000.00,5131.97,26.3200,69.296,69.297
,13,1000.00,5114.21,26.2600,90.540,37.503
,14,1000.00,5115.50,25.8500,98.000,0.000
,15,1000.00,5138.97,25.3600,90.540,-37.503
,16,1000.00,5178.28,25.0700,69.297,-69.296
,17,1000.00,5211.25,25.1500,37.503,-90.540
,18,1000.00,5197.11,24.9400,0.000,-98.000
,19,1000.00,5166.67,25.3700,-37.503,-90.540
,20,1000.00,5132.59,25.7100,-69.296,-69.297
,21,1000.00,5112.17,25.8400,-90.540,-37.503
,22,1000.00,5118.44,26.3500,-98.000,-0.000
,23,1000.00,5143.42,26.5700,-90.540,37.503
,24,1000.00,5172.25,26.2200,-69.297,69.296
,25,1000.00,5187.26,26.2700,-37.503,90.540
,26,1000.00,5209.45,25.2800,0.000,147.000
,27,1000.00,5180.87,25.1200,38.046,141.991
,28,1000.00,5144.87,25.3800,73.500,127.306
,29,1000.00,5109.46,25.1600,103.945,103.945
,30,1000.00,5080.92,24.9400,127.306,73.500
,31,1000.00,5068.51,24.6600,141.991,38.047
,32,1000.00,5076.09,24.4800,147.000,0.000
,33,1000.00,5105.83,25.6500,141.991,-38.046
,34,1000.00,5158.51,24.8600,127.306,-73.500
,35,1000.00,5195.57,24.7100,103.945,-103.944
,36,1000.00,5310.67,26.3300,73.500,-127.306
,37,1000.00,5334.53,26.7100,38.047,-141.991
,38,1000.00,5234.74,25.0800,0.000,-147.000
,39,1000.00,5234.58,24.8100,-38.046,-141.991
,40,1000.00,5152.11,25.5800,-73.500,-127.306
,41,1000.00,5120.88,24.9400,-103.944,-103.945
,42,1000.00,5083.86,24.6900,-127.305,-73.500
,43,1000.00,5073.42,24.7900,-141.991,-38.047
,44,1000.00,5089.82,25.2100,-147.000,-0.001
,45,1000.00,5121.21,25.6300,-141.991,38.046
,46,1000.00,5161.05,25.4500,-127.306,73.499
,47,1000.00,5196.60,25.1700,-103.945,103.944
,48,1000.00,5218.22,25.2100,-73.501,127.305
,49,1000.00,5220.61,25.4200,-38.047,141.991

Max,,1000.00,5334.53,27.1700
Min,,1000.00,5068.51,24.4800
Range,,0.00,266.02,2.6900
Mean,,1000.00,5153.95,25.5898
StdD,,0.00,55.28,0.6267
%StdD,,0.00,1.07,2.4489
%NonU,,0.00,2.58,5.2560
CTE,,N/A,N/A,N/A

Date/Time:,12-Mar-20 11:24:24 AM
Film name:,Poly on 1000A Oxide
Stage group:,49 pts radial
Lot ID:,kk_0312 Sel_pre
Wafer ID:,# 24 - Poly
Cassette recipe name:,SemiAuto -
Wafer recipe name:,POLY ON 1K OXIDE 49PT 3mmEE
Stage recipe name:,49 pt 12 in 4x Notch 3mm ex
Title:,Point#,SiO2 (Å),Poly (Å),MSE,X(mm),Y(mm)
,1,1000.00,5071.49,34.9600,0.000,0.000
,2,1000.00,5058.10,34.4500,0.000,49.000
,3,1000.00,5090.39,34.4000,34.648,34.648
,4,1000.00,5108.43,33.9000,49.000,0.000
,5,1000.00,5094.25,34.4800,34.648,-34.648
,6,1000.00,5082.11,35.2800,0.000,-49.000
,7,1000.00,5085.36,35.6500,-34.648,-34.648
,8,1000.00,5077.63,35.8600,-49.000,-0.000
,9,1000.00,5058.23,35.2600,-34.648,34.648
,10,1000.00,5039.04,34.7800,0.000,98.000
,11,1000.00,5078.52,34.4100,37.503,90.540
,12,1000.00,5132.40,33.3000,69.296,69.297
,13,1000.00,5177.58,31.7700,90.540,37.503
,14,1000.00,5188.99,31.7900,98.000,0.000
,15,1000.00,5153.04,32.9400,90.540,-37.503
,16,1000.00,5114.99,34.3300,69.297,-69.296
,17,1000.00,5094.59,35.5200,37.503,-90.540
,18,1000.00,5095.08,36.4200,0.000,-98.000
,19,1000.00,5109.88,36.7900,-37.503,-90.540
,20,1000.00,5127.82,36.4100,-69.296,-69.297
,21,1000.00,5134.84,36.6000,-90.540,-37.503
,22,1000.00,5123.04,37.0600,-98.000,-0.000
,23,1000.00,5091.90,37.1800,-90.540,37.503
,24,1000.00,5055.99,36.6500,-69.297,69.296
,25,1000.00,5034.37,35.8300,-37.503,90.540
,26,1000.00,4962.73,31.6300,0.000,147.000
,27,1000.00,5012.66,32.6200,38.046,141.991
,28,1000.00,5082.76,33.2700,73.500,127.306
,29,1000.00,5186.89,31.6200,103.945,103.945
,30,1000.00,5217.15,31.5600,127.306,73.500
,31,1000.00,5320.04,32.7500,141.991,38.047
,32,1000.00,5361.83,32.7600,147.000,0.000
,33,1000.00,5201.26,32.3300,141.991,-38.046
,34,1000.00,5146.39,32.0400,127.306,-73.500
,35,1000.00,5116.87,34.3000,103.945,-103.944
